"","c(""All Data"", ""No Engineered Features"", ""No Month 5 Raw Data"", ","genTrainAcc","X0TrainAcc","genTestAcc","X0TestAcc"
"alldata","All Data",0.967345505617977,0.781308520599251,0.769054191486271,0.793693212185997
"onlyrawdata","No Engineered Features",0.965745942571785,0.770306647940075,0.757344181316287,0.778193479422769
"no5thmonthdata","No Month 5 Raw Data",0.966792811069496,0.777563202247191,0.766991137585355,0.793158738642437
"norawdata","No Raw Data",0.966246618809821,0.774344569288389,0.762312944936801,0.793158738642437
"nobehaviouraldata","No Behavioral Data",0.95430841656263,0.681940543071161,0.707424088333576,0.679850347407803
